image_path,image_R,image_G,image_B,image_S1,image_S2,image_S3,image_S4,image_S5,image_S6,image_S7,label,case
D:\Github\RGB-S\data\simulation_binary_1//images//01011,D:\Github\RGB-S\data\simulation_binary_1//images//01011_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01011_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01011_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01011_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01011_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01011_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01011_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01011_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01011_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01011_07.png,0,Test
D:\Github\RGB-S\data\simulation_binary_1//images//01012,D:\Github\RGB-S\data\simulation_binary_1//images//01012_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01012_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01012_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01012_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01012_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01012_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01012_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01012_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01012_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01012_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01013,D:\Github\RGB-S\data\simulation_binary_1//images//01013_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01013_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01013_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01013_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01013_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01013_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01013_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01013_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01013_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01013_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01014,D:\Github\RGB-S\data\simulation_binary_1//images//01014_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01014_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01014_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01014_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01014_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01014_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01014_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01014_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01014_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01014_07.png,0,Validation
D:\Github\RGB-S\data\simulation_binary_1//images//01015,D:\Github\RGB-S\data\simulation_binary_1//images//01015_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01015_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01015_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01015_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01015_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01015_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01015_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01015_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01015_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01015_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01016,D:\Github\RGB-S\data\simulation_binary_1//images//01016_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01016_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01016_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01016_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01016_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01016_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01016_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01016_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01016_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01016_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01017,D:\Github\RGB-S\data\simulation_binary_1//images//01017_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01017_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01017_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01017_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01017_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01017_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01017_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01017_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01017_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01017_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01018,D:\Github\RGB-S\data\simulation_binary_1//images//01018_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01018_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01018_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01018_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01018_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01018_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01018_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01018_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01018_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01018_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01019,D:\Github\RGB-S\data\simulation_binary_1//images//01019_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01019_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01019_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01019_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01019_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01019_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01019_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01019_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01019_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01019_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01020,D:\Github\RGB-S\data\simulation_binary_1//images//01020_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01020_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01020_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01020_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01020_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01020_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01020_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01020_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01020_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01020_07.png,0,Validation
D:\Github\RGB-S\data\simulation_binary_1//images//01021,D:\Github\RGB-S\data\simulation_binary_1//images//01021_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01021_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01021_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01021_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01021_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01021_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01021_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01021_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01021_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01021_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01022,D:\Github\RGB-S\data\simulation_binary_1//images//01022_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01022_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01022_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01022_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01022_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01022_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01022_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01022_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01022_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01022_07.png,0,Test
D:\Github\RGB-S\data\simulation_binary_1//images//01023,D:\Github\RGB-S\data\simulation_binary_1//images//01023_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01023_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01023_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01023_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01023_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01023_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01023_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01023_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01023_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01023_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01024,D:\Github\RGB-S\data\simulation_binary_1//images//01024_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01024_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01024_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01024_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01024_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01024_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01024_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01024_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01024_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01024_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01025,D:\Github\RGB-S\data\simulation_binary_1//images//01025_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01025_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01025_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01025_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01025_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01025_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01025_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01025_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01025_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01025_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01026,D:\Github\RGB-S\data\simulation_binary_1//images//01026_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01026_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01026_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01026_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01026_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01026_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01026_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01026_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01026_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01026_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01027,D:\Github\RGB-S\data\simulation_binary_1//images//01027_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01027_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01027_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01027_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01027_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01027_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01027_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01027_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01027_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01027_07.png,1,Validation
D:\Github\RGB-S\data\simulation_binary_1//images//01028,D:\Github\RGB-S\data\simulation_binary_1//images//01028_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01028_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01028_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01028_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01028_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01028_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01028_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01028_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01028_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01028_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01029,D:\Github\RGB-S\data\simulation_binary_1//images//01029_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01029_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01029_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01029_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01029_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01029_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01029_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01029_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01029_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01029_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01030,D:\Github\RGB-S\data\simulation_binary_1//images//01030_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01030_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01030_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01030_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01030_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01030_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01030_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01030_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01030_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01030_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01031,D:\Github\RGB-S\data\simulation_binary_1//images//01031_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01031_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01031_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01031_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01031_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01031_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01031_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01031_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01031_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01031_07.png,0,Test
D:\Github\RGB-S\data\simulation_binary_1//images//01032,D:\Github\RGB-S\data\simulation_binary_1//images//01032_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01032_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01032_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01032_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01032_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01032_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01032_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01032_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01032_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01032_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01033,D:\Github\RGB-S\data\simulation_binary_1//images//01033_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01033_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01033_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01033_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01033_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01033_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01033_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01033_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01033_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01033_07.png,1,Test
D:\Github\RGB-S\data\simulation_binary_1//images//01034,D:\Github\RGB-S\data\simulation_binary_1//images//01034_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01034_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01034_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01034_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01034_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01034_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01034_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01034_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01034_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01034_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01035,D:\Github\RGB-S\data\simulation_binary_1//images//01035_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01035_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01035_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01035_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01035_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01035_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01035_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01035_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01035_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01035_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01036,D:\Github\RGB-S\data\simulation_binary_1//images//01036_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01036_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01036_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01036_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01036_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01036_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01036_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01036_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01036_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01036_07.png,0,Validation
D:\Github\RGB-S\data\simulation_binary_1//images//01037,D:\Github\RGB-S\data\simulation_binary_1//images//01037_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01037_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01037_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01037_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01037_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01037_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01037_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01037_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01037_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01037_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01038,D:\Github\RGB-S\data\simulation_binary_1//images//01038_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01038_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01038_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01038_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01038_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01038_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01038_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01038_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01038_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01038_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01039,D:\Github\RGB-S\data\simulation_binary_1//images//01039_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01039_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01039_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01039_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01039_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01039_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01039_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01039_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01039_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01039_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01040,D:\Github\RGB-S\data\simulation_binary_1//images//01040_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01040_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01040_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01040_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01040_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01040_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01040_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01040_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01040_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01040_07.png,0,Test
D:\Github\RGB-S\data\simulation_binary_1//images//01041,D:\Github\RGB-S\data\simulation_binary_1//images//01041_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01041_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01041_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01041_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01041_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01041_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01041_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01041_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01041_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01041_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01042,D:\Github\RGB-S\data\simulation_binary_1//images//01042_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01042_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01042_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01042_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01042_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01042_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01042_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01042_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01042_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01042_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01043,D:\Github\RGB-S\data\simulation_binary_1//images//01043_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01043_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01043_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01043_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01043_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01043_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01043_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01043_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01043_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01043_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01044,D:\Github\RGB-S\data\simulation_binary_1//images//01044_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01044_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01044_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01044_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01044_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01044_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01044_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01044_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01044_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01044_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01045,D:\Github\RGB-S\data\simulation_binary_1//images//01045_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01045_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01045_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01045_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01045_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01045_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01045_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01045_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01045_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01045_07.png,0,Validation
D:\Github\RGB-S\data\simulation_binary_1//images//01046,D:\Github\RGB-S\data\simulation_binary_1//images//01046_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01046_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01046_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01046_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01046_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01046_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01046_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01046_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01046_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01046_07.png,0,Test
D:\Github\RGB-S\data\simulation_binary_1//images//01047,D:\Github\RGB-S\data\simulation_binary_1//images//01047_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01047_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01047_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01047_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01047_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01047_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01047_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01047_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01047_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01047_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//01048,D:\Github\RGB-S\data\simulation_binary_1//images//01048_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//01048_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//01048_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//01048_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//01048_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//01048_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//01048_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//01048_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//01048_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//01048_07.png,1,Train
